Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
"STR_RPL_HatchbackHood",Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Kapota Lada Niva 4x4,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,
"STR_RPL_HatchbackHood_Blue",Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Kapota Lada Niva 4x4,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,
"STR_RPL_HatchbackHood_White",Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Kapota Lada Niva 4x4,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,
"STR_RPL_HatchbackHood_GreenRust",Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Kapota Lada Niva 4x4,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,
"STR_RPL_HatchbackHood_BlueRust",Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Kapota Lada Niva 4x4,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,
"STR_RPL_HatchbackHood_WhiteRust",Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Kapota Lada Niva 4x4,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,Lada Niva 4x4 Hood,
"STR_RPL_HatchbackDoors_Driver",Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Levé Dveře Lada Niva 4x4,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,
"STR_RPL_HatchbackDoors_CoDriver_Blue",Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Pravé Dveře Lada Niva 4x4,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,
"STR_RPL_HatchbackDoors_Driver_White",Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Levé Dveře Lada Niva 4x4,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,
"STR_RPL_HatchbackDoors_CoDriver_White",Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Pravé Dveře Lada Niva 4x4,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,
"STR_RPL_HatchbackDoors_Driver_GreenRust",Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Levé Dveře Lada Niva 4x4,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,Lada Niva 4x4 Left Door,
"STR_RPL_HatchbackDoors_CoDriver_GreenRust",Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Pravé Dveře Lada Niva 4x4,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,Lada Niva 4x4 Right Door,
