"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
STR_RPL_EmptyCan,"Empty Can","Empty Can","Prázdná plechovka","Empty Can","Empty Can","Empty Can","Empty Can","Empty Can","Empty Can","Empty Can","Empty Can","Empty Can","Empty Can","Empty Can",
STR_RPL_EmptyCan_D,"An ordinary empty tin can. Can be used for storing various things inside of it, with it lasting for a long time.","An ordinary empty tin can. Can be used for storing various things inside of it, with it lasting for a long time.","Obyčejná hliníková konzerva. Lze v ní uchovat ovoce, zelenina, maso a mnoho dalších věcí. Uzavřená konzerva dokáže zabránit zkáze mnoha konzervovaných věcí.","An ordinary empty tin can. Can be used for storing various things inside of it, with it lasting for a long time.","An ordinary empty tin can. Can be used for storing various things inside of it, with it lasting for a long time.","An ordinary empty tin can. Can be used for storing various things inside of it, with it lasting for a long time.","An ordinary empty tin can. Can be used for storing various things inside of it, with it lasting for a long time.","An ordinary empty tin can. Can be used for storing various things inside of it, with it lasting for a long time.","An ordinary empty tin can. Can be used for storing various things inside of it, with it lasting for a long time.","An ordinary empty tin can. Can be used for storing various things inside of it, with it lasting for a long time.","An ordinary empty tin can. Can be used for storing various things inside of it, with it lasting for a long time.","An ordinary empty tin can. Can be used for storing various things inside of it, with it lasting for a long time.","An ordinary empty tin can. Can be used for storing various things inside of it, with it lasting for a long time.","An ordinary empty tin can. Can be used for storing various things inside of it, with it lasting for a long time.",
STR_RPL_CannedApples,"Canned Apples","Canned Apples","Jablka v konzervě","Canned Apples","Canned Apples","Canned Apples","Canned Apples","Canned Apples","Canned Apples","Canned Apples","Canned Apples","Canned Apples","Canned Apples","Canned Apples",
STR_RPL_CannedApples_D,"An ordinary can of apples.","An ordinary can of apples.","An ordinary can of apples.","Plechovka se zavařenými jablky v nálevu.","An ordinary can of apples.","An ordinary can of apples.","An ordinary can of apples.","An ordinary can of apples.","An ordinary can of apples.","An ordinary can of apples.","An ordinary can of apples.","An ordinary can of apples.","An ordinary can of apples.","An ordinary can of apples.",
STR_RPL_CannedPlums,"Canned Plums","Canned Plums","Švestky v konzervě","Canned Plums","Canned Plums","Canned Plums","Canned Plums","Canned Plums","Canned Plums","Canned Plums","Canned Plums","Canned Plums","Canned Plums","Canned Plums",
STR_RPL_CannedPlums_D,"An ordinary can of plums.","An ordinary can of plums.","An ordinary can of plums.","Plechovka se zavařenými švestkami v nálevu.","An ordinary can of plums.","An ordinary can of plums.","An ordinary can of plums.","An ordinary can of plums.","An ordinary can of plums.","An ordinary can of plums.","An ordinary can of plums.","An ordinary can of plums.","An ordinary can of plums.","An ordinary can of plums.",
STR_RPL_CannedPears,"Canned Pears","Canned Pears","Hrušky v konzervě","Canned Pears","Canned Pears","Canned Pears","Canned Pears","Canned Pears","Canned Pears","Canned Pears","Canned Pears","Canned Pears","Canned Pears","Canned Pears",
STR_RPL_CannedPears_D,"An ordinary can of pears.","An ordinary can of pears.","Plechovka se zavařenými hruškami.","An ordinary can of pears.","An ordinary can of pears.","An ordinary can of pears.","An ordinary can of pears.","An ordinary can of pears.","An ordinary can of pears.","An ordinary can of pears.","An ordinary can of pears.","An ordinary can of pears.","An ordinary can of pears.","An ordinary can of pears.",
STR_RPL_CannedMushrooms,"Canned Mushrooms","Canned Mushrooms","Žampiony v konzervě","Canned Mushrooms","Canned Mushrooms","Canned Mushrooms","Canned Mushrooms","Canned Mushrooms","Canned Mushrooms","Canned Mushrooms","Canned Mushrooms","Canned Mushrooms","Canned Mushrooms","Canned Mushrooms",
STR_RPL_CannedMushrooms_D,"An ordinary can of mushrooms.","An ordinary can of mushrooms.","Plechovka s žampiony ve slaném nálevu.","An ordinary can of mushrooms.","An ordinary can of mushrooms.","An ordinary can of mushrooms.","An ordinary can of mushrooms.","An ordinary can of mushrooms.","An ordinary can of mushrooms.","An ordinary can of mushrooms.","An ordinary can of mushrooms.","An ordinary can of mushrooms.","An ordinary can of mushrooms.","An ordinary can of mushrooms.",
