"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_Armband_Test","Testing Armband","Testing Armband","Testovací Armband","","","","","","","","","","","",
"STR_Armband_Test_Description","This is a description of testing armband.","This is a description of testing armband.","Toto je testovací popisek armbandu.","","","","","","","","","","","",
"STR_Armband_UNCNR","Shoulder Tape (UNCNR)","Shoulder Tape (UNCNR)","Páska přes rameno (UNCNR)","","","","","","","","","","","",
"STR_Armband_UNCNR_Description","Light blue shoulder tape with a patch of United Nations troops in Chernarus.","Light blue shoulder tape with a patch of United Nations troops in Chernarus.","Světle modrá páska přes rameno s nášivkou jednotek Organizace Spojených Národů v Černarusi.","","","","","","","","","","","",
"STR_Armband_TradeUnion","Shoulder Tape (Trade Union)","Shoulder Tape (Trade Union)","Páska přes rameno (Obchodní Unie)","","","","","","","","","","","",
"STR_Armband_TradeUnion_Description","Blue shoulder tape with Trade Union print. It does not guarantee the credibility of the wearer.","Blue shoulder tape with Trade Union print. It does not guarantee the credibility of the wearer.","Modrá páska přes rameno s potiskem Obchodní unie. Nezaručuje důvěryhodnost nositele.","","","","","","","","","","","",
"STR_Armband_Medical","Shoulder Tape (Medical)","Shoulder Tape (Medical)","Páska přes rameno (Zdravotnická)","","","","","","","","","","","",
"STR_Armband_Medical_Description","Medical green shoulder tape.","Medical green shoulder tape.","Zdravotnická zelená páska přes rameno.","","","","","","","","","","","",
"STR_Armband_NAPA","Shoulder Tape (NAPA)","Shoulder Tape (NAPA)","Páska přes rameno (NAPA)","","","","","","","","","","","",
"STR_Armband_NAPA_Description","Green shoulder tape with National Party applique. Long live Chernarus!","Green shoulder tape with National Party applique. Sláva Černarusi!","Zelená páska přes rameno s nášivkou Národní Strany. Ať žije Černarus!","","","","","","","","","","","",
"STR_Armband_CHDKZ","Shoulder Tape (ChDKZ)","Shoulder Tape (ChDKZ)","Páska přes rameno (ČDKZ)","","","","","","","","","","","",
"STR_Armband_CHDKZ_Description","Red shoulder tape with a patch of the Chernarussian Movement of Red Star.","Red armband with a patch of the Chernarussian Movement of Red Star.","Rudá páska přes rameno s nášivkou Černaruského hnutí Rudé hvězdy.","","","","","","","","","","","",
"STR_Armband_PL","Shoulder Tape (Poland)","Shoulder Tape (Poland)","Páska přes rameno (Polsko)","","","","","","","","","","","",
"STR_Armband_PL_Description","Shoulder tape in the colors of the Republic of Poland's flag.","Shoulder tape in the colors of the Republic of Poland's flag","Páska přes rameno v barvách Polské republiky.","","","","","","","","","","","",
"STR_Armband_CDF","Shoulder Tape (CDF)","Shoulder Tape (CDF)","Páska přes rameno (CDF)","","","","","","","","","","","",
"STR_Armband_CDF_Description","Green shoulder tape with a patch of the Chernarussian Defense Forces.","Green shoulder tape with a patch of the Chernarussian Defense Forces.","Zelená páska přes rameno s nášivkou Černaruských ozbrojených sil.","","","","","","","","","","","",
"STR_Armband_JackForest","Shoulder Tape (Jack  Forest)","Shoulder Tape (Jack Forest)","Páska přes rameno (Jack Forest)","","","","","","","","","","","",
"STR_Armband_JackForest_Description","This shoulder tape holds a memory of a beloved comrade survivor from Czechia. A pioneer of altruistic RP, not a selfish man, we've lost on our way. Long live Jack Forest! Shall his name be remembered by the new blood!","This shoulder tape holds a memory of a beloved comrade survivor from Czechia. A pioneer of altruistic RP, not a selfish man, we've lost on our way. Long live Jack Forest! Shall his name be remembered by the new blood!","Ztracená páska přes rameno s mužským jménem. Kde je Jack?","","","","","","","","","","","",
"STR_Armband_BrenovyHavrani","Shoulder Tape (Crows)","Shoulder Tape (Crows)","Páska přes rameno (Havrani)","","","","","","","","","","","",
