Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,

STR_RPL_AK_Bayonet,"","","","","","","","","","","","","","",
STR_RPL_AK_Bayonet_D,"","","","","","","","","","","","","","",
STR_RPL_M9A1_Bayonet,"","","","","","","","","","","","","","",
STR_RPL_M9A1_Bayonet_D,"","","","","","","","","","","","","","",
STR_RPL_Mosin_Bayonet,"","","","","","","","","","","","","","",
STR_RPL_Mosin_Bayonet_D,"","","","","","","","","","","","","","",
STR_RPL_SKS_Bayonet,"","","","","","","","","","","","","","",
STR_RPL_SKS_Bayonet_D,"","","","","","","","","","","","","","",
STR_RPL_Mosin_Compensator,"","","","","","","","","","","","","","",
STR_RPL_Mosin_Compensator_D,"","","","","","","","","","","","","","",
STR_RPL_MP5_Compensator,"","","","","","","","","","","","","","",
STR_RPL_MP5_Compensator_D,"","","","","","","","","","","","","","",
STR_RPL_M4_Suppressor,"","","","","","","","","","","","","","",
STR_RPL_M4_Suppressor_D,"","","","","","","","","","","","","","",
STR_RPL_AK_Suppressor,"","","","","","","","","","","","","","",
STR_RPL_AK_Suppressor_D,"","","","","","","","","","","","","","",
STR_RPL_PistolSuppressor,"","","","","","","","","","","","","","",
STR_RPL_M4_CarryHandleOptic,"","","","","","","","","","","","","","",
STR_RPL_M4_CarryHandleOptic_D,"","","","","","","","","","","","","","",
STR_RPL_BUISOptic,"","","","","","","","","","","","","","",
STR_RPL_BUISOptic_D,"","","","","","","","","","","","","","",
STR_RPL_M68Optic,"","","","","","","","","","","","","","",
STR_RPL_M68Optic_D,"","","","","","","","","","","","","","",
STR_RPL_M4_T3NRDSOptic,"","","","","","","","","","","","","","",
STR_RPL_M4_T3NRDSOptic_D,"","","","","","","","","","","","","","",
STR_RPL_FNP45_MRDSOptic,"","","","","","","","","","","","","","",
STR_RPL_FNP45_MRDSOptic_D,"","","","","","","","","","","","","","",
STR_RPL_ReflexOptic,"","","","","","","","","","","","","","",
STR_RPL_ReflexOptic_D,"","","","","","","","","","","","","","",
STR_RPL_ACOGOptic,"","","","","","","","","","","","","","",
STR_RPL_ACOGOptic_D,"","","","","","","","","","","","","","",
STR_RPL_PUScopeOptic,"","","","","","","","","","","","","","",
STR_RPL_PUScopeOptic_D,"","","","","","","","","","","","","","",
STR_RPL_KashtanOptic,"","","","","","","","","","","","","","",
STR_RPL_KashtanOptic_D,"","","","","","","","","","","","","","",
STR_RPL_LongrangeOptic,"","","","","","","","","","","","","","",
STR_RPL_LongrangeOptic_D,"","","","","","","","","","","","","","",
STR_RPL_HuntingOptic,"","","","","","","","","","","","","","",
STR_RPL_HuntingOptic_D,"","","","","","","","","","","","","","",
STR_RPL_PistolOptic,"","","","","","","","","","","","","","",
STR_RPL_PistolOptic_D,"","","","","","","","","","","","","","",
STR_RPL_PSO1Optic,"","","","","","","","","","","","","","",
STR_RPL_PSO1Optic_D,"","","","","","","","","","","","","","",
STR_RPL_PSO11Optic,"","","","","","","","","","","","","","",
STR_RPL_PSO11Optic_D,"","","","","","","","","","","","","","",
STR_RPL_KobraOptic,"","","","","","","","","","","","","","",
STR_RPL_KobraOptic_D,"","","","","","","","","","","","","","",
STR_RPL_1PN51Optic,"","","","","","","","","","","","","","",
STR_RPL_1PN51Optic_D,"","","","","","","","","","","","","","",
STR_RPL_M4_OEBttstck,"","","","","","","","","","","","","","",
STR_RPL_M4_OEBttstck_D,"","","","","","","","","","","","","","",
STR_RPL_M4_MPBttstck,"","","","","","","","","","","","","","",
STR_RPL_M4_MPBttstck_D,"","","","","","","","","","","","","","",
STR_RPL_M4_CQBBttstck,"","","","","","","","","","","","","","",
STR_RPL_M4_CQBBttstck_D,"","","","","","","","","","","","","","",
STR_RPL_AK_WoodBttstck,"","","","","","","","","","","","","","",
STR_RPL_AK_WoodBttstck_D,"","","","","","","","","","","","","","",
STR_RPL_AK74_WoodBttstck,"","","","","","","","","","","","","","",
STR_RPL_AK74_WoodBttstck_D,"","","","","","","","","","","","","","",
STR_RPL_AK_FoldingBttstck,"","","","","","","","","","","","","","",
STR_RPL_AK_FoldingBttstck_D,"","","","","","","","","","","","","","",
STR_RPL_AK_PlasticBttstck,"","","","","","","","","","","","","","",
STR_RPL_AK_PlasticBttstck_D,"","","","","","","","","","","","","","",
STR_RPL_AKS74U_Bttstck,"","","","","","","","","","","","","","",
STR_RPL_AKS74U_Bttstck_D,"","","","","","","","","","","","","","",
STR_RPL_MP5K_StockBttstck,"","","","","","","","","","","","","","",
STR_RPL_MP5K_StockBttstck_D,"","","","","","","","","","","","","","",
STR_RPL_FAL_OeBttstck,"","","","","","","","","","","","","","",
STR_RPL_FAL_OeBttstck_D,"","","","","","","","","","","","","","",
STR_RPL_FAL_FoldingBttstck,"","","","","","","","","","","","","","",
STR_RPL_FAL_FoldingBttstck_D,"","","","","","","","","","","","","","",
STR_RPL_Saiga_Bttstck,"","","","","","","","","","","","","","",
STR_RPL_Saiga_Bttstck_D,"","","","","","","","","","","","","","",
STR_RPL_M4_PlasticHndgrd,"","","","","","","","","","","","","","",
STR_RPL_M4_PlasticHndgrd_D,"","","","","","","","","","","","","","",
STR_RPL_M4_RISHndgrd,"","","","","","","","","","","","","","",
STR_RPL_M4_RISHndgrd_D,"","","","","","","","","","","","","","",
STR_RPL_M4_MPHndgrd,"","","","","","","","","","","","","","",
STR_RPL_M4_MPHndgrd_D,"","","","","","","","","","","","","","",
STR_RPL_AK_WoodHndgrd,"","","","","","","","","","","","","","",
STR_RPL_AK_WoodHndgrd_D,"","","","","","","","","","","","","","",
STR_RPL_AK74_Hndgrd,"","","","","","","","","","","","","","",
STR_RPL_AK74_Hndgrd_D,"","","","","","","","","","","","","","",
STR_RPL_AK_RailHndgrd,"","","","","","","","","","","","","","",
STR_RPL_AK_RailHndgrd_D,"","","","","","","","","","","","","","",
STR_RPL_AK_PlasticHndgrd,"","","","","","","","","","","","","","",
STR_RPL_AK_PlasticHndgrd_D,"","","","","","","","","","","","","","",
STR_RPL_MP5_PlasticHndgrd,"","","","","","","","","","","","","","",
STR_RPL_MP5_PlasticHndgrd_D,"","","","","","","","","","","","","","",
STR_RPL_MP5_RailHndgrd,"","","","","","","","","","","","","","",
STR_RPL_MP5_RailHndgrd_D,"","","","","","","","","","","","","","",
STR_RPL_M249_Hndgrd,"","","","","","","","","","","","","","",
STR_RPL_M249_Hndgrd_D,"","","","","","","","","","","","","","",
STR_RPL_M249_RisHndgrd,"","","","","","","","","","","","","","",
STR_RPL_M249_RisHndgrd_D,"","","","","","","","","","","","","","",
STR_RPL_AtlasBipod,"","","","","","","","","","","","","","",
STR_RPL_AtlasBipod_D,"","","","","","","","","","","","","","",
STR_RPL_M249_Bipod,"","","","","","","","","","","","","","",
STR_RPL_M249_Bipod_D,"","","","","","","","","","","","","","",

STR_RPL_cfgvehicles_ak_bayonet0,AK Bayonet,AK Bayonet,Bajonet AK,AK-Bajonett,Штык для AK,Bagnet AK,AK Bayonet,Baionetta AK,Bayoneta para AK,Baïonnette de AK,AK 刺刀,AK 銃剣,AK Bayonet,AK 刺刀,
STR_RPL_cfgvehicles_ak_bayonet1,A bayonet for AK based assault rifles with a bayonet lug.,A bayonet for AK based assault rifles with a bayonet lug.,Bajonet na útočné pušky AK s montáží na bajonet.,Ein Bajonett für AK-basierte Sturmgewehre mit Bajonettaufsatz.,Штык для автоматов системы КА с выступом для крепления штыка.,Bagnet na karabin szturmowy AK z odpowiednim uchwytem.,A bayonet for AK based assault rifles with a bayonet lug.,Una baionetta per fucili d’assalto di derivazione AK dotati di attacco per baionetta.,"Una bayoneta para fusiles de asalto AK, con un agarre de bayoneta.",Une baïonnette pouvant être fixée aux fusils d'assaut de type AK.,刺刀，可加裝在有刺刀座的 AK 系列突擊步槍。,着剣ラグのある AK ベースのアサルトライフルのための銃剣。,A bayonet for AK based assault rifles with a bayonet lug.,一种带有刺刀座的 AK 型突击步枪的刺刀。,
STR_RPL_cfgvehicles_mosin_bayonet0,Mosin 91/30 Bayonet,Mosin 91/30 Bayonet,Bajonet Mosin 91/30,Mosin 91/30-Bajonett,Штык для винтовки Мосина,Bagnet Mosin 91/30,Mosin 91/30 Bayonet,Baionetta Mosin 91/30,Bayoneta para Mosin 91/30,Baïonnette de Mosin 91/30,Mosin 91/30 刺刀,モシン 91/30 銃剣,Mosin 91/30 Bayonet,Mosin 91/30 刺刀,
STR_RPL_cfgvehicles_mosin_bayonet1,A bayonet for Mosin 91/30 rifle with a bayonet lug.,A bayonet for Mosin 91/30 rifle with a bayonet lug.,Bajonet na pušku Mosin 91/30 s montáží na bajonet.,Ein Bajonett für das Mosin 91/30-Gewehr mit Bajonettaufsatz.,Штык для винтовки Мосина обр. 1891/30 гг. с выступом для крепления штыка.,Bagnet na karabin Mosin 91/30 z odpowiednim uchwytem.,A bayonet for Mosin 91/30 rifle with a bayonet lug.,Una baionetta per fucile Mosin 91/30 con un attacco per baionetta.,"Una bayoneta para el fusil Mosin 91/30, con un agarre de bayoneta.",Une baïonnette pouvant être fixée au fusil Mosin 91/30.,刺刀，可加裝在有刺刀座的 Mosin 91/30 步槍。,着剣ラグのあるモシン 91/30 ライフルのための銃剣。,A bayonet for Mosin 91/30 rifle with a bayonet lug.,一种带有刺刀座的 Mosin 91/30 步枪的刺刀。,
STR_RPL_cfgvehicles_sks_bayonet0,SKS M59/66 Bayonet,SKS M59/66 Bayonet,Bajonet SKS M59/66,SKS M59/66-Bajonett,Штык для винтовки SKS M59/66,Bagnet SKS M59/66,SKS M59/66 Bayonet,Baionetta SKS M59/66,Bayoneta para SKS M59/66,Baïonnette de SKS M59/66,SKS M59/66 刺刀,SKS M59/66 銃剣,SKS M59/66 Bayonet,SKS M59/66 刺刀,
STR_RPL_cfgvehicles_sks_bayonet1,A bayonet for SKS M59/66 rifle with a bayonet lug.,A bayonet for SKS M59/66 rifle with a bayonet lug.,Bajonet na pušku SKS M59/66 s montáží na bajonet.,Ein Bajonett für das SKS M59/66-Gewehr mit Bajonettaufsatz.,Штык для винтовки SKS M59/66 с выступом для крепления штыка.,Bagnet na karabin SKS M59/66 z odpowiednim uchwytem.,A bayonet for SKS M59/66 rifle with a bayonet lug.,Una baionetta per fucile SKS M59/66 con un attacco per baionetta.,"Una bayoneta para el fusil SKS M59/66, con un agarre de bayoneta.",Une baïonnette pouvant être fixée au fusil SKS M59/66.,刺刀，可加裝在有刺刀座的 SKS M59/66 步槍。,着剣ラグのある SKS M59/66 ライフルのための銃剣。,A bayonet for SKS M59/66 rifle with a bayonet lug.,一种带有刺刀座的 SKS M59/66 步枪的刺刀。,
STR_RPL_cfgvehicles_mosin_compensator0,Mosin 91/30 Compensator,Mosin 91/30 Compensator,Kompenzátor Mosin 91/30,Mosin 91/30-Kompensator,Надульник Mosin 91/30,Kompensator odrzutu Mosin 91/30,Mosin 91/30 Compensator,Compensatore Mosin 91/30,Compensador Mosin 91/30,Compensateur de Mosin 91/30,Mosin 91/30 補償器,モシン 91/30 コンペンセイター,Mosin 91/30 Compensator,Mosin 91/30 补偿器,
STR_RPL_cfgvehicles_mosin_compensator1,A muzzle device for Mosin 91/30 rifle. Used to counter recoil during firing.,A muzzle device for Mosin 91/30 rifle. Used to counter recoil during firing.,Zařízení na ústí hlavně pušky Mosin 91/30. Používá se k potlačení zpětného rázu při střelbě.,Laufaufsatz für das Mosin 91/30. Verringert den Rückstoß.,Глушитель для винтовки Mosin 91/30. Используется для уменьшения отдачи во время стрельбы.,Hamulec wylotowy do karabinu Mosin 91/30. Ogranicza odrzut przy strzelaniu.,A muzzle device for Mosin 91/30 rifle. Used to counter recoil during firing.,Congegno da montare alla volata del fucile Mosin 91/30 per contrastare il rinculo.,Un silenciador para el fusil Mosin 91/30. Se usa para contrarrestar el retroceso al disparar.,Un accessoire de canon pour le fusil Mosin 91/30. Permet de contrer le recul lors du tir.,槍口配件，適用於 Mosin 91/30 步槍。用於抵銷開槍時的後座力。,モシン 91/30 ライフルのための銃口装置。射撃時の反動を和らげるために使用できる。,A muzzle device for Mosin 91/30 rifle. Used to counter recoil during firing.,Mosin 91/30 步枪的枪口装置。用于在射击时抵消后坐力。,
STR_RPL_cfgvehicles_mp5_compensator0,MP5K Compensator,MP5K Compensator,Kompenzátor MP5K,MP5K-Kompensator,Надульник MP5K,Kompensator odrzutu MP5K,MP5K Compensator,Compensatore MP5K,Compensador de retroceso MP5K,Compensateur de MP5K,MP5K 補償器,MP5K コンペンセイター,MP5K Compensator,MP5K 补偿器,
STR_RPL_cfgvehicles_mp5_compensator1,A muzzle device for MP5K submachine gun. Used to counter recoil during firing.,A muzzle device for MP5K submachine gun. Used to counter recoil during firing.,Zařízení na ústí hlavně samopalu MP5K. Používá se k potlačení zpětného rázu při střelbě.,Laufaufsatz für die MP5K-Maschinenpistole. Verringert den Rückstoß.,Глушитель для пистолета-пулемета MP5K. Используется для уменьшения отдачи во время стрельбы.,Hamulec wylotowy do pistoletu maszynowego MP5K. Ogranicza odrzut przy strzelaniu.,A muzzle device for MP5K submachine gun. Used to counter recoil during firing.,Congegno da montare alla volata del mitra MP5K per contrastare il rinculo durante lo sparo.,Un silenciador para la metralleta MP5K. Se usa para contrarrestar el retroceso al disparar.,Un accessoire de canon pour le pistolet mitrailleur MP5K. Permet de contrer le recul lors du tir.,槍口配件，適用 MP5K 機關槍。用於抵銷開槍時的後座力。,MP5K 短機関銃のための銃口装置。射撃時の反動を和らげるために使用できる。,A muzzle device for MP5K submachine gun. Used to counter recoil during firing.,MP5K 冲锋枪的枪口装置。用于在射击时抵制后坐力。,
STR_RPL_cfgvehicles_m4_suppressor0,Standardized Suppressor,Standardized Suppressor,Standardizovaný tlumič NATO,Standardisierter Schalldämpfer,Стандартный глушитель,Standardowy tłumik,Standardized Suppressor,Silenziatore standardizzato,Silenciador estándar,Silencieux standardisé,標準消音器,標準サプレッサー,Standardized Suppressor,标准化抑制器,
STR_RPL_cfgvehicles_m4_suppressor1,A muzzle device for select rifles used by alliance forces. Reduces sound intensity and muzzle flash generated by firing.,A muzzle device for select rifles used by alliance forces. Reduces sound intensity and muzzle flash generated by firing.,Zařízení na ústí hlavně na vybrané pušky aliančních sil. Při výstřelu snižuje intenzitu zvuku a záblesk z hlavně.,"Ein Laufaufsatz für diverse Gewehre, das von den Allianzstreitkräften eingesetzt wurde. Reduziert Lärm und Mündungsfeuer.","Глушитель для некоторых винтовок, состоящих на вооружении сил альянса. Уменьшает громкость звука и дульное пламя при стрельбе.",Tłumik do wybranych karabinów wykorzystywanych przez siły przymierza. Tłumi dźwięki i zmniejsza rozbłysk po wystrzale.,A muzzle device for select rifles used by alliance forces. Reduces sound intensity and muzzle flash generated by firing.,Congegno da montare alla volata di determinati fucili utilizzati dalle forze dell’alleanza per ridurre l’intensità del suono e il flash di bocca generato dallo sparo.,Un dispositivo silenciador para una selección de fusiles de las tropas de la Alianza. Reduce tanto la intensidad del sonido como el fogonazo que se produce al disparar.,Un dispositif monté sur le canon de certains fusils de l'Alliance. Réduit l'intensité du son et du flash lumineux produits par le tir.,槍口配件，適用於盟軍的某些步槍。降低開槍時的聲音強度與槍口火光。,同盟軍によって使用される特定のライフルのための銃口装置。射撃の際に発生する音の強さと銃口の火花を減少させる。,A muzzle device for select rifles used by alliance forces. Reduces sound intensity and muzzle flash generated by firing.,联盟部队使用的精选步枪的枪口装置。可减少射击产生的声音强度和枪口焰。,
STR_RPL_cfgvehicles_ak_suppressor0,Normalized Suppressor,Normalized Suppressor,Normalizovaný tlumič,Normierter Schalldämpfer,Обычный глушитель,Zwykły tłumik,Normalized Suppressor,Silenziatore normalizzato,Silenciador normalizado,Silencieux normalisé,一般型消音器,正規化サプレッサー,Normalized Suppressor,规范化声音抑制器,
STR_RPL_cfgvehicles_ak_suppressor1,A muzzle device for select rifles used by Eastern forces. Reduces sound intensity and muzzle flash generated by firing.,A muzzle device for select rifles used by Eastern forces. Reduces sound intensity and muzzle flash generated by firing.,Zařízení na ústí hlavně na vybrané pušky východních sil. Při výstřelu snižuje intenzitu zvuku a záblesk z hlavně.,Laufaufsatz für diverse Gewehre der östlichen Streitkräfte. Reduziert Lärm und Mündungsfeuer.,"Глушитель для некоторых винтовок, состоящих на вооружении стран восточного блока. Уменьшает громкость звука и дульное пламя при стрельбе.",Tłumik do wybranych karabinów używanych przez siły Wschodu. Tłumi dźwięki i zmniejsza rozbłysk po wystrzale.,A muzzle device for select rifles used by Eastern forces. Reduces sound intensity and muzzle flash generated by firing.,Congegno da montare alla volata di determinati fucili utilizzati dalle forze dell’est per ridurre l’intensità del suono e il flash di bocca generato dallo sparo.,Un dispositivo silenciador para una selección de fusiles de las tropas del Este. Reduce tanto la intensidad del sonido como el fogonazo que se produce al disparar.,Un dispositif monté sur le canon de certains fusils des forces de l'Est. Réduit l'intensité du son et du flash lumineux produits par le tir.,槍口配件，適用於東軍的某些步槍。降低開槍時的聲音強度與槍口火光。,東部軍によって使用される特定のライフルのための銃口装置。射撃の際に発生する音の強さと銃口の火花を減少させる。,A muzzle device for select rifles used by Eastern forces. Reduces sound intensity and muzzle flash generated by firing.,东方部队使用的精选步枪的枪口装置。可减少射击产生的声音强度和枪口焰。,
STR_RPL_cfgvehicles_m4_carryhandleoptic0,M4A1 Carry Handle Sights,M4A1 Carry Handle Sights,Rukojeť s mířidly M4A1,M4A1-Tragegriff-Visier,Прицел M4A1 с рукояткой для переноски,Uchwyt z celownikiem M4A1,M4A1 Carry Handle Sights,Ottiche a maniglione M4A1,Mira de asa M4A1,Poignée à viseur de M4A1,M4A1 提把瞄具,M4A1 キャリングハンドル照準器,M4A1 Carry Handle Sights,M4A1 把手瞄具,
STR_RPL_cfgvehicles_m4_carryhandleoptic1,A standardized rail-mounted carry handle with iron sights designed for M4A1 assault rifle.,A standardized rail-mounted carry handle with iron sights designed for M4A1 assault rifle.,Standardizovaná transportní rukojeť s lištou a mířidly určená na útočnou pušku M4A1.,"Standardisierter, schienengeführter Tragegriff mit Kimme und Korn für das M4A1-Sturmgewehr.","Стандартная реечная рукоятка для переноски с механическим прицелом, разработанным для автомата M4A1.",Doczepiany do szyny uniwersalny uchwyt z celownikiem do karabinu szturmowego M4A1.,A standardized rail-mounted carry handle with iron sights designed for M4A1 assault rifle.,Ottiche metalliche a maniglione montate su scanalatura e standardizzate progettate per il fucile d’assalto M4A1.,"Un asa de riel estándar, con una mira de hierro, diseñada para el fusil de asalto M4A1.",Une poignée standard sur rail avec viseur pour mire. Pour le fusil d'assaut M4A1.,標準導軌式瞄具，含提把，適用於 M4A1 突擊步槍。,M4A1 アサルトライフルのためにデザインされ、アイアンサイトを持つ、標準化されたレール取り付け型のキャリングハンドル。,A standardized rail-mounted carry handle with iron sights designed for M4A1 assault rifle.,为 M4A1 突击步枪设计的标准化轨道式把手，带机械瞄具。,
STR_RPL_cfgvehicles_buisoptic0,Backup Iron Sights,Backup Iron Sights,Záložní železná mířidla,Sekundäres „Kimme und Korn“-Visier,Запасной механический прицел,Zapasowy celownik,Backup Iron Sights,Ottiche metalliche di supporto,Refuerzo de mira de hierro,Mire supplémentaire,備用瞄具,予備アイアンサイト,Backup Iron Sights,备用机械瞄具,
STR_RPL_cfgvehicles_buisoptic1,Standardized rail-mounted backup iron sights designed for M4A1 assault rifle.,Standardized rail-mounted backup iron sights designed for M4A1 assault rifle.,Standardizovaná záložní železná mířidla s montáží na lištu určená na útočnou pušku M4A1.,"Standardisiertes, schienengeführtes, sekundäres „Kimme und Korn“-Visier für das M4A1-Sturmgewehr.","Запасной стандартный реечный механический прицел, разработанный для автомата M4A1.",Doczepiany do szyny uniwersalny celownik zapasowy do karabinu szturmowego M4A1.,Standardized rail-mounted backup iron sights designed for M4A1 assault rifle.,Ottiche metalliche di supporto montate su scanalatura e standardizzate progettate per il fucile d’assalto M4A1.,"Un refuerzo de riel estándar, con una mira de hierro, diseñado para el fusil de asalto M4A1.",Une mire standardisée supplémentaire montée sur rail. Pour le fusil d'assaut M4A1.,標準導軌式備用瞄具，適用於 M4A1 突擊步槍。,M4A1 アサルトライフルのためにデザインされた、標準化されたレール取り付け型の予備アイアンサイト。,Standardized rail-mounted backup iron sights designed for M4A1 assault rifle.,为 M4A1 突击步枪设计的标准化轨道式备用机械瞄具。,
STR_RPL_cfgvehicles_m68optic0,M68 Optics,M68 Optics,Optika M68,M68 Optics,M68 Optics,M68 Optics,M68 Optics,M68 Optics,M68 Optics,M68 Optics,M68 Optics,M68 Optics,M68 Optics,M68 Optics,M68 Optics
STR_RPL_cfgvehicles_m68optic1,"Standardized rail-mounted, non-magnifying optics with battery-powered illuminated reticle designed for M4A1 assault rifle.","Standardized rail-mounted, non-magnifying optics with battery-powered illuminated reticle designed for M4A1 assault rifle.",Standardní optika bez zvětšení namontovatelná na lištu určená na útočnou pušku M4A1. Optika má osvětlený záměrný kříž napájený baterií.,"Standardisiertes, schienengeführtes Zielfernrohr ohne Vergrößerung und mit batteriebetriebenem Leuchtabsehen. Mit M4A1-Sturmgewehr kompatibel.",Стандартный реечный прицел без увеличения с устройством освещения сетки на батарейке. Разработан для автомата M4A1.,Doczepiany do szyny uniwersalny celownik z podświetlaną siatką bez powiększenia. Pasuje do karabinu szturmowego M4A1.,"Standardized rail-mounted, non-magnifying optics with battery-powered illuminated reticle designed for M4A1 assault rifle.","Ottiche prive di zoom montate su scanalatura e standardizzate, con reticolo illuminato alimentato a batteria, progettate per il fucile d’assalto M4A1.","Una mira de acople básico, sin lente de aumento. Incluye una retícula iluminada (la cual requiere batería) que ha sido diseñada específicamente para el fusil de asalto M4A1.","Un viseur standardisé sans grossissement, monté sur rail avec réticule éclairé à pile. Pour le fusil d'assaut M4A1.",無放大功能的標準導軌式光學瞄具，具電池式發光標線，適用於 M4A1 突擊步槍。,M4A1 アサルトライフルのためにデザインされ、電池式で光る十字線を持つ、標準化されたレール取り付け型で拡大機能のない照準器。,"Standardized rail-mounted, non-magnifying optics with battery-powered illuminated reticle designed for M4A1 assault rifle.",为 M4A1 突击步枪设计的标准化轨道式非放大光学瞄具，带电池供电的照明分划板。,
STR_RPL_cfgvehicles_m4_t3nrdsoptic0,RV1 RDS Sights,RV1 RDS Sights,Optika RV1 RDS,RV1 RDS-Visier,Прицел RV1 RDS,Celownik RV1 RDS,RV1 RDS Sights,Ottiche RV1 RDS,Mira RV1 RDS,Viseur RV1 RDS,RV1 RDS 瞄具,RV1 RDS 照準器,RV1 RDS Sights,RV1 RDS 瞄具,
