"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_RPL_HumanLeatherJacket","Cannibal Jacket","Cannibal Jacket","Kanibalská bunda","Cannibal Jacket","Cannibal Jacket","Cannibal Jacket","Cannibal Jacket","Cannibal Jacket","Cannibal Jacket","Cannibal Jacket","Cannibal Jacket","Cannibal Jacket","Cannibal Jacket","Cannibal Jacket",
"STR_RPL_HumanLeatherJacket_D","Jacket made of pieces of stitched human leather. Whether it is the skin of an individual's enemies remains a question, but with this jacket you will certainly build a valuable respect. No one would want to end up on your jacket, would they.","Jacket made of pieces of stitched human leather. Whether it is the skin of an individual's enemies remains a question, but with this jacket you will certainly build a valuable respect. No one would want to end up on your jacket, would they.","Bunda vyrobená z kusů sešité lidské kůže. Jestli je to kůže jedincových nepřátel zůstává otázkou, ale s touto bundou si vybuduješ zajisté hodnotnou úctu. Nikdo by přece nechtěl skončit na tvé bundě, že ano.","Jacket made of pieces of stitched human leather. Whether it is the skin of an individual's enemies remains a question, but with this jacket you will certainly build a valuable respect. No one would want to end up on your jacket, would they.","Jacket made of pieces of stitched human leather. Whether it is the skin of an individual's enemies remains a question, but with this jacket you will certainly build a valuable respect. No one would want to end up on your jacket, would they.","Jacket made of pieces of stitched human leather. Whether it is the skin of an individual's enemies remains a question, but with this jacket you will certainly build a valuable respect. No one would want to end up on your jacket, would they.","Jacket made of pieces of stitched human leather. Whether it is the skin of an individual's enemies remains a question, but with this jacket you will certainly build a valuable respect. No one would want to end up on your jacket, would they.","Jacket made of pieces of stitched human leather. Whether it is the skin of an individual's enemies remains a question, but with this jacket you will certainly build a valuable respect. No one would want to end up on your jacket, would they.","Jacket made of pieces of stitched human leather. Whether it is the skin of an individual's enemies remains a question, but with this jacket you will certainly build a valuable respect. No one would want to end up on your jacket, would they.","Jacket made of pieces of stitched human leather. Whether it is the skin of an individual's enemies remains a question, but with this jacket you will certainly build a valuable respect. No one would want to end up on your jacket, would they.","Jacket made of pieces of stitched human leather. Whether it is the skin of an individual's enemies remains a question, but with this jacket you will certainly build a valuable respect. No one would want to end up on your jacket, would they.","Jacket made of pieces of stitched human leather. Whether it is the skin of an individual's enemies remains a question, but with this jacket you will certainly build a valuable respect. No one would want to end up on your jacket, would they.","Jacket made of pieces of stitched human leather. Whether it is the skin of an individual's enemies remains a question, but with this jacket you will certainly build a valuable respect. No one would want to end up on your jacket, would they.","Jacket made of pieces of stitched human leather. Whether it is the skin of an individual's enemies remains a question, but with this jacket you will certainly build a valuable respect. No one would want to end up on your jacket, would they.",
"STR_RPL_M65Jacket_Crook","Crook's Christmas Jacket","Crook's Christmas Jacket","Gaunerova vánoční bunda","Crook's Christmas Jacket","Crook's Christmas Jacket","Crook's Christmas Jacket","Crook's Christmas Jacket","Crook's Christmas Jacket","Crook's Christmas Jacket","Crook's Christmas Jacket","Crook's Christmas Jacket","Crook's Christmas Jacket","Crook's Christmas Jacket","Crook's Christmas Jacket",
"STR_LongSleeveShirt","Long-sleeve Shirt","Long-sleeve Shirt","Dlouhý svetr","Long-sleeve Shirt","Long-sleeve Shirt","Long-sleeve Shirt","Long-sleeve Shirt","Long-sleeve Shirt","Long-sleeve Shirt","Long-sleeve Shirt","Long-sleeve Shirt","Long-sleeve Shirt","Long-sleeve Shirt","Long-sleeve Shirt",
"STR_Telnyashka_Shirt","Telnyashka Shirt","Telnyashka Shirt","Tělňaška","Telnyashka Shirt","Telnyashka Shirt","Telnyashka Shirt","Telnyashka Shirt","Telnyashka Shirt","Telnyashka Shirt","Telnyashka Shirt","Telnyashka Shirt","Telnyashka Shirt","Telnyashka Shirt","Telnyashka Shirt",
"STR_TShirt_Black_Adios","Branded T-Shirt","Branded T-Shirt","Značkové tričko","Branded T-Shirt","Branded T-Shirt","Branded T-Shirt","Branded T-Shirt","Branded T-Shirt","Branded T-Shirt","Branded T-Shirt","Branded T-Shirt","Branded T-Shirt","Branded T-Shirt","Branded T-Shirt",
"STR_TShirt_White_Adios","Branded T-Shirt","Branded T-Shirt","Značkové tričko","","","","","","","","","","","",
"STR_TShirt_White_Bloody","Bloody T-Shirt","Bloody T-Shirt","Krvavé tričko","","","","","","","","","","","",
"STR_TShirt_Black_Bloody","Bloody T-Shirt","Bloody T-Shirt","Krvavé tričko","","","","","","","","","","","",
"STR_TShirt_VineRed_Sputnik","Branded T-Shirt","Branded T-Shirt","Značkové tričko","","","","","","","","","","","",
"STR_TShirt_Black_Sputnik","Branded T-Shirt","Branded T-Shirt","Značkové tričko","","","","","","","","","","","",
"STR_TShirt_NavyBlue_Sputnik","Branded T-Shirt","Branded T-Shirt","Značkové tričko","","","","","","","","","","","",
"STR_EasterEgg_Lada","Easter Egg","Easter Egg","Easter Egg","","","","","","","","","","","",
"STR_DenimJacket_Black","Black Denim Jacket","Black Denim Jacket","Černá džínová bunda","","","","","","","","","","","",
"STR_DenimJacket_GruppaKino","Black Denim (Kino)","Black Denim (Kino)","Džínová bunda (Kino)","","","","","","","","","","","",
"STR_DenimJacket_KapelaTeam","Black Denim (Team)","Black Denim (Team)","Džínová bunda (Team)","","","","","","","","","","","",
"STR_DenimJacket_PaloHabera","Black Denim (Palo Nabera)","Black Denim (Paul Nabera)","Džínová bunda (Paľo Nabera)","","","","","","","","","","","",
