Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_RPL_AKM,AKM,AKM,AKM,AKM,AKM,AKM,AKM,AKM,AKM,AKM,AKM,AKM,AKM,AKM,
STR_RPL_AKM_D,Selective-fire assault rifle fed from a detachable magazine. Modernized version of classic AK-47 with lot of attachments available. Uses 7.62x39mm rounds.,Selective-fire assault rifle fed from a detachable magazine. Modernized version of classic AK-47 with lot of attachments available. Uses 7.62x39mm rounds.,"Útočná puška s možností volby režimu střelby, munice dodávána odnímatelným zásobníkem. Modernizovaná varianta klasické AK-47 se spoustou dostupných doplňků. Používá munici 7,62x39 mm.",Sturmgewehr mit selektivem Feuer und abnehmbarem Magazin. Modernisierte Variante der klassischen AK-47 mit zahlreicher Erweiterungen. Nutzt 7.62x39mm-Munition.,"Автомат с переводчиком режимов огня и съемным магазином. Модернизированный вариант классической версии AK-47 с множеством приспособлений. Использует патроны калибра 7,62x39 мм.","Karabin szturmowy z przełącznikiem ognia i magazynkiem zewnętrznym. Zmodernizowana wersja klasyka AK-47. Dostępnych jest do niej wiele akcesoriów. Strzela amunicją 7,62x39 mm.",Selective-fire assault rifle fed from a detachable magazine. Modernized version of classic AK-47 with lot of attachments available. Uses 7.62x39mm rounds.,Fucile d’assalto con selettore di fuoco e alimentazione mediante un caricatore estraibile. Variante modernizzata del classico AK-47 con molti accessori disponibili. Utilizza munizioni calibro 7.62x39 mm.,"Fusil de asalto de fuego selectivo, que se alimenta de un cargador desmontable. Versión moderna del clásico AK-47 con muchos accesorios disponibles. Usa proyectiles de 7,62x39 mm.","Un fusil d'assaut de calibre 7,62x39 mm avec différents modes de tir et chargeur amovible. Variante moderne de la AK-47 accueillant de nombreux accessoires.",可選射擊模式的突擊步槍，以可拆卸的彈匣供彈。是經典 AK-47 的現代版，可加裝自訂配件，配件種類眾多。使用 7.62x39mm 子彈。,取り外し可能なマガジンから装填する、セレクティブファイア機能のアサルトライフル。利用可能なアタッチメントが多数ある従来の AK-74 の近代化型。7.62x39mm 弾薬を使う。,Selective-fire assault rifle fed from a detachable magazine. Modernized version of classic AK-47 with lot of attachments available. Uses 7.62x39mm rounds.,从可拆卸弹匣送弹的选射突击步枪。经典 AK-47 的现代型，有许多附件可供选用。使用 7.62 x39 毫米子弹。,
STR_RPL_AK74,AK-74,AK-74,AK-74,AK-74,AK-74,AK-74,AK-74,AK-74,AK-74,AK-74,AK-74,AK-74,AK-74,AK-74,
STR_RPL_ak74_D,Selective-fire assault rifle fed from a detachable magazine. Replacement of AKM with compatible attachments. Uses 5.45x39mm rounds.,Selective-fire assault rifle fed from a detachable magazine. Replacement of AKM with compatible attachments. Uses 5.45x39mm rounds.,"Útočná puška s možností volby režimu střelby, munice dodávána odnímatelným zásobníkem. Náhrada modelu AKM s kompatibilními doplňky. Používá munici 5,45x39 mm.",Sturmgewehr mit selektivem Feuer und abnehmbarem Magazin. Nachfolger des AKM mit diversen kompatiblen Erweiterungen. Nutzt 5.45x39mm-Munition.,"Автомат с переводчиком режимов огня и съемным магазином. Выпущен взамен модели AKM с совместимыми приспособлениями. Использует патроны калибра 5,45x39 мм.","Karabin szturmowy z przełącznikiem ognia i magazynkiem zewnętrznym. Zamiennik AKM (część akcesoriów jest z nim kompatybilna). Strzela amunicją 5,45x39 mm.",Selective-fire assault rifle fed from a detachable magazine. Replacement of AKM with compatible attachments. Uses 5.45x39mm rounds.,Fucile d’assalto con selettore di fuoco e alimentazione mediante un caricatore estraibile. Sostituzione del AKM con accessori compatibili. Utilizza munizioni calibro 5.45x39 mm.,"Fusil de asalto de fuego selectivo, alimentado por un cargador desmontable. Sustitución del AKM con accesorios compatibles. Usa proyectiles de 5,45x39 mm.","Un fusil d'assaut avec sélecteur de tir à chargeur amovible de calibre 5,45x39 mm, remplaçant la AKM et accueillant les accessoires compatibles.",可選射擊模式的突擊步槍，以可拆卸的彈匣供彈。是 AKM 的代替品，並可搭載相容的配件。使用 5.45x39mm 子彈。,取り外し可能なマガジンから装填する、セレクティブファイア機能のアサルトライフル。互換性のあるアタッチメントがある AKM の代替品。 5.45x39mm 弾薬を使う。,Selective-fire assault rifle fed from a detachable magazine. Replacement of AKM with compatible attachments. Uses 5.45x39mm rounds.,从可拆卸弹匣送弹的选射突击步枪。AKM 的替代品，配备可兼容的附件。使用 5.45x39 毫米子弹。,
STR_RPL_AKS74U,AKS-74U,AKS-74U,AKS-74U,AKS-74U,AKS-74U,AKS-74U,AKS-74U,AKS-74U,AKS-74U,AKS-74U,AKS-74U,AKS-74U,AKS-74U,AKS-74U,
STR_RPL_AKS74U_D,Selective-fire assault rifle fed from a detachable magazine. Shortened version of AK-74 with some compatible attachments. Uses 5.45x39mm rounds.,Selective-fire assault rifle fed from a detachable magazine. Shortened version of AK-74 with some compatible attachments. Uses 5.45x39mm rounds.,"Útočná puška s možností volby režimu střelby, munice dodávána odnímatelným zásobníkem. Zkrácená verze modelu AK-74 s několika kompatibilními doplňky. Používá munici 5,45x39 mm.",Sturmgewehr mit selektivem Feuer und abnehmbarem Magazin. Die verkürzte Version des AK-74 mit diversen kompatiblen Erweiterungen. Nutzt 5.45x39mm-Munition.,"Автомат с переводчиком режимов огня и съемным магазином. Укороченная версия AK-74. Совместима с некоторыми приспособлениями. Использует патроны калибра 5,45x39 мм.","Karabin szturmowy z przełącznikiem ognia i magazynkiem zewnętrznym. Skrócona wersja AK-74 (część akcesoriów jest z nią kompatybilna). Strzela amunicją 5,45x39 mm.",Selective-fire assault rifle fed from a detachable magazine. Shortened version of AK-74 with some compatible attachments. Uses 5.45x39mm rounds.,Fucile d’assalto con selettore di fuoco e alimentazione mediante un caricatore estraibile. Variante ridotta del AK-74 con alcuni accessori compatibili. Utilizza munizioni calibro 5.45x39 mm.,"Fusil de asalto de fuego selectivo, alimentado por un cargador desmontable. Versión más corta del AK-74, con algunos accesorios compatibles. Usa proyectiles de 5,45x39 mm.","Un fusil d'assaut avec sélecteur de tir à chargeur amovible de calibre 5,45x39 mm. Version raccourcie du AK-74 accueillant les accessoires compatibles.",可選射擊模式的突擊步槍，以可拆卸的彈匣供彈。是 AK-74 的縮短版，並可搭載某些配件。使用 5.45x39mm 子彈。,取り外し可能なマガジンから装填する、セレクティブファイア機能のアサルトライフル。互換性のあるアタッチメントがいくつかある AK-74 の短縮型。5.45x39mm 弾薬を使う。,Selective-fire assault rifle fed from a detachable magazine. Shortened version of AK-74 with some compatible attachments. Uses 5.45x39mm rounds.,从可拆卸弹匣送弹的选射突击步枪。AK-74 的缩短型，配备一些可兼容的附件。使用 5.45x39 毫米子弹。,
STR_RPL_AK101,AK-101,AK-101,AK-101,AK-101,AK-101,AK-101,AK-101,AK-101,AK-101,AK-101,AK-101,AK-101,AK-101,AK-101,
STR_RPL_AK101_D,Selective-fire assault rifle fed from a detachable magazine. Export version of modernized AK-74M with compatible attachments. Uses 5.56x45mm rounds.,Selective-fire assault rifle fed from a detachable magazine. Export version of modernized AK-74M with compatible attachments. Uses 5.56x45mm rounds.,"Útočná puška s možností volby režimu střelby, munice dodávána odnímatelným zásobníkem. Exportní verze modernizované AK-74M s kompatibilními doplňky. Používá munici 5,56x45 mm.",Sturmgewehr mit selektivem Feuer und abnehmbarem Magazin. Die exportierte Version des modernisierten AK-74M mit kompatiblen Erweiterungen. Nutzt 5.56x45mm-Munition.,"Автомат с переводчиком режимов огня и съемным магазином. Экспортная версия модернизированной модели AK-74M с совместимыми приспособлениями. Использует патроны калибра 5,56x45 мм.","Karabin szturmowy z przełącznikiem ognia i magazynkiem zewnętrznym. Eksportowa wersja AK-74M (część akcesoriów jest z nią kompatybilna). Strzela amunicją 5,56x45 mm.",Selective-fire assault rifle fed from a detachable magazine. Export version of modernized AK-74M with compatible attachments. Uses 5.56x45mm rounds.,Fucile d’assalto con selettore di fuoco e alimentazione mediante un caricatore estraibile. Variante per l’esportazione del modernizzato AK-74M con accessori compatibili. Utilizza munizioni calibro 5.56x45 mm.,"Fusil de asalto de fuego selectivo, alimentado por un cargador desmontable. Versión exportada de un AK-74M modernizado, con accesorios compatibles. Usa proyectiles de 5,56x45 mm.","Un fusil d'assaut avec sélecteur de tir à chargeur amovible de calibre 5,56x45 mm. Version d'export de la AK-74M modernisée accueillant les accessoires compatibles.",可選射擊模式的突擊步槍，以可拆卸的彈匣供彈。是新式 AK-74M 的輸出版，並可搭載相容的配件。使用 5.56x45mm 子彈。,取り外し可能なマガジンから装填する、セレクティブファイア機能のアサルトライフル。互換性のあるアタッチメントがある近代化した AK-74M の輸出用バージョン。5.56x45mm 弾薬を使う。,Selective-fire assault rifle fed from a detachable magazine. Export version of modernized AK-74M with compatible attachments. Uses 5.56x45mm rounds.,从可拆卸弹匣送弹的选射突击步枪。现代款 AK-74M 的出口型，配备可兼容的附件。使用 5.56x45 毫米子弹。,
STR_RPL_AugSteyr,Steyr AUG Automatic Rifle,Steyr AUG Automatic Rifle,Steyr AUG Automatic Rifle,Steyr AUG Automatic Rifle,Steyr AUG Automatic Rifle,Steyr AUG Automatic Rifle,Steyr AUG Automatic Rifle,Steyr AUG Automatic Rifle,Steyr AUG Automatic Rifle,Steyr AUG Automatic Rifle,Steyr AUG Automatic Rifle,Steyr AUG Automatic Rifle,Steyr AUG Automatic Rifle,Steyr AUG Automatic Rifle,
STR_RPL_AugSteyr_D,"The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.",
