"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
STR_RPL_SprayCan_Black,"Black Spray Paint","Black Spray Paint","Černý sprej","Black Spray Paint","Black Spray Paint","Black Spray Paint","Black Spray Paint","Black Spray Paint","Black Spray Paint","Black Spray Paint","Black Spray Paint","Black Spray Paint","Black Spray Paint","Black Spray Paint",
STR_RPL_SprayCan_Olive,"Olive Spray Paint","Olive Spray Paint","Olivový sprej","Olive Spray Paint","Olive Spray Paint","Olive Spray Paint","Olive Spray Paint","Olive Spray Paint","Olive Spray Paint","Olive Spray Paint","Olive Spray Paint","Olive Spray Paint","Olive Spray Paint","Olive Spray Paint",
STR_RPL_SprayCan_DarkTan,"Dark Tan Spray Paint","Dark Tan Spray Paint","Tmavohnědý sprej","Dark Tan Spray Paint","Dark Tan Spray Paint","Dark Tan Spray Paint","Dark Tan Spray Paint","Dark Tan Spray Paint","Dark Tan Spray Paint","Dark Tan Spray Paint","Dark Tan Spray Paint","Dark Tan Spray Paint","Dark Tan Spray Paint","Dark Tan Spray Paint",
STR_RPL_SprayCan_White,"White Spray Paint","White Spray Paint","Bílý sprej","White Spray Paint","White Spray Paint","White Spray Paint","White Spray Paint","White Spray Paint","White Spray Paint","White Spray Paint","White Spray Paint","White Spray Paint","White Spray Paint","White Spray Paint",
STR_RPL_SprayCan_Black_D,"Matte black aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte black aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matná černá aerosolová barva ve spreji. Obsah je pod tlakem. Udržujte mimo vysoké teploty.","Matte black aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte black aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte black aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte black aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte black aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte black aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte black aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte black aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte black aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte black aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte black aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!",
STR_RPL_SprayCan_Olive_D,"Matte olive aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte olive aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matná olivová aerosolová barva ve spreji. Obsah je pod tlakem. Udržujte mimo vysoké teploty.","Matte olive aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte olive aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte olive aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte olive aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte olive aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte olive aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte olive aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte olive aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte olive aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte olive aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte olive aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!",
STR_RPL_SprayCan_DarkTan_D,"Matte dark tan aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte dark tan aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matná tmavěhnědá aerosolová barva ve spreji. Obsah je pod tlakem. Udržujte mimo vysoké teploty.","Matte dark tan aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte dark tan aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte dark tan aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte dark tan aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte dark tan aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte dark tan aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte dark tan aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte dark tan aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte dark tan aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte dark tan aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte dark tan aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!",
STR_RPL_SprayCan_White_D,"Matte white aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte white aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matná bílá aerosolová barva ve spreji. Obsah je pod tlakem. Udržujte mimo vysoké teploty.","Matte white aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte white aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte white aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte white aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte white aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte white aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte white aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte white aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte white aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte white aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!","Matte white aerosol spraypaint. Contents are under pressure. Keep away from extreme heat!",
STR_RPL_Thinner,"Thinner","Thinner","Ředidlo","Thinner","Thinner","Thinner","Thinner","Thinner","Thinner","Thinner","Thinner","Thinner","Thinner","Thinner",
STR_RPL_Thinner_6000_D,"Thinner or solvent is used to improve the spreadability of paints, to clean brushes and to remove old paint.","Thinner or solvent is used to improve the spreadability of paints, to clean brushes and to remove old paint.","Ředidlo neboli rozpouštědlo se používá ke zlepšení roztíratelnosti laků, k čištění štětců a k odstranění starých nátěrů.","Thinner or solvent is used to improve the spreadability of paints, to clean brushes and to remove old paint.","Thinner or solvent is used to improve the spreadability of paints, to clean brushes and to remove old paint.","Thinner or solvent is used to improve the spreadability of paints, to clean brushes and to remove old paint.","Thinner or solvent is used to improve the spreadability of paints, to clean brushes and to remove old paint.","Thinner or solvent is used to improve the spreadability of paints, to clean brushes and to remove old paint.","Thinner or solvent is used to improve the spreadability of paints, to clean brushes and to remove old paint.","Thinner or solvent is used to improve the spreadability of paints, to clean brushes and to remove old paint.","Thinner or solvent is used to improve the spreadability of paints, to clean brushes and to remove old paint.","Thinner or solvent is used to improve the spreadability of paints, to clean brushes and to remove old paint.","Thinner or solvent is used to improve the spreadability of paints, to clean brushes and to remove old paint.","Thinner or solvent is used to improve the spreadability of paints, to clean brushes and to remove old paint.",
